Discount, Price After Discount
0.025,231.01649999999998
0.085,1386.2250000000001
0.025,400.8225
0.16,1439.9615999999999
0.035,143.785
0.025,304.122
0.025,202.96575
0.05500000000000001,1254.0905999999998
0.025,147.16649999999998
0.05,460.40799999999996
0.0,224.65
0.0,596.44
0.060000000000000005,80.65199999999999
0.060000000000000005,56.1744
0.0,299.1
0.28500000000000003,524.6741499999999
0.05,3728.712
0.07500000000000001,3397.34
0.0,203.19
0.12000000000000001,1784.9216
0.03,647.9212
0.05,865.697
0.0,624.8
0.08,310.4080000000001
0.060000000000000005,871.2671999999999
0.025,666.8512499999999
0.05,1190.236
0.05,728.3745
0.04,431.1552
0.05,2875.536
0.045,1112.04975
0.07500000000000001,2178.856
0.025,460.27799999999996
0.060000000000000005,525.8266
0.16,105.33599999999998
0.025,134.1795
0.165,56.5462
0.060000000000000005,2468.0546
0.025,186.42000000000002
0.060000000000000005,3208.6711999999998
0.14,269.9712
0.05,42.3225
0.060000000000000005,2615.8132
0.035,2738.3419
0.07500000000000001,2164.7775
0.135,1034.18535
0.075,165.34375
0.035,462.9684
0.09,624.1234999999999
0.12,285.516
0.165,1148.48405
0.05,1764.8625
0.155,3080.2616000000003
0.05,36.765
0.0,210.04
0.0,713.6
0.060000000000000005,1979.264
0.0,182.95
0.11,1729.4925000000003
0.060000000000000005,1773.4415999999999
0.035,2077.4327000000003
0.07,389.0748
0.05,124.06049999999999
0.075,140.41500000000002
0.0,237.3
0.035,2335.6087999999995
0.05,659.1575
0.07500000000000001,2287.84875
0.025,197.82750000000001
0.035,2935.65545
0.155,1357.5431999999998
0.060000000000000005,2306.572
0.055,812.8228499999999
0.060000000000000005,1509.5366
0.07500000000000001,3274.2595
0.12000000000000001,2537.6735999999996
0.07500000000000001,844.71
0.025,1352.23725
0.05,175.10399999999998
0.035,2853.61115
0.185,3215.9248
0.14,220.59
0.05,182.9795
0.05,18.8955
0.035,189.14
0.275,358.875
0.07500000000000001,330.90950000000004
0.05,748.125
0.135,1942.22775
0.025,442.49399999999997
0.3,483.08400000000006
0.025,36.5625
0.05,189.23999999999998
0.125,1389.6225000000002
0.05,50.16
0.025,344.53575
0.155,178.98790000000002
0.15,148.869
0.060000000000000005,629.9128
0.085,189.13049999999998
0.07500000000000001,417.81325000000004
0.0,616.6
0.025,551.5282500000001
0.13,2117.4929999999995
0.060000000000000005,1983.4188
0.060000000000000005,83.37799999999999
0.125,4.71625
0.035,1795.95185
0.145,468.3177
0.025,197.17424999999997
0.05,149.34
0.07500000000000001,1141.3205
0.07500000000000001,98.12400000000001
0.05,1321.222
0.05,1011.9875
0.0,242.97
0.065,477.16790000000003
0.07500000000000001,2613.0787500000006
0.08499999999999999,905.0814000000001
0.07500000000000001,1198.8
0.05,97.204
0.05,253.2985
0.07500000000000001,3602.32
0.33,66.732
0.05,596.0205
0.05,1638.0945000000002
0.0,367.52
0.05,2739.8475
0.0,48.78
0.060000000000000005,1234.596
0.07500000000000001,3249.25675
0.025,446.7645
0.025,915.369
0.025,8.82375
